country,happiness,gdp,family,liefeexpectancy,trust
Paraguay,5.6921000480651855,9.389982223510742,1.3681975603103638,0.7358696460723877,0.06507737934589386
Dominican Republic,5.689199924468994,9.664880752563477,1.3288888931274414,0.741901695728302,0.11594568192958832
Bosnia and Herzegovina,5.674099922180176,9.455817222595217,1.2039865255355835,0.8139281868934631,0.0011724870419129701
Moldova,5.607500076293945,8.776714324951172,1.2373121976852417,0.7132994532585144,0.01437874417752027
Tajikistan,5.555699825286865,8.024810791015625,1.218377709388733,0.680594801902771,0.22177991271018985
Montenegro,5.54610013961792,9.751860618591309,1.265657901763916,0.8390288949012756,0.09843511134386064
Russia,5.546000003814697,10.12887191772461,1.3786441087722778,0.6804459095001221,0.04569936171174049
Kyrgyzstan,5.541500091552734,8.148405075073242,1.341036677360535,0.6806458830833435,0.03046669065952301
Belarus,5.539899826049805,9.779945373535156,1.3871393203735352,0.7525885701179504,0.193607434630394
North Cyprus,5.5355000495910645,10.405702590942385,1.1830891370773315,1.0261245965957642,0.1998029053211212
Greece,5.514999866485596,10.132326126098633,1.1689735651016235,0.9794317483901978,0.0488443523645401
Hong Kong S.A.R. of China,5.51039981842041,10.93467140197754,1.2435842752456665,1.136630654335022,0.3324854373931885
Croatia,5.504700183868408,10.07087516784668,1.3112648725509644,0.900575578212738,0.01232500560581684
Libya,5.488800048828125,9.78981590270996,1.1962836980819702,0.6156266331672668,0.17225807905197144
Mongolia,5.456200122833252,9.412186622619627,1.4589306116104126,0.6157881617546082,0.04653312638401985
Malaysia,5.384300231933594,10.262518882751465,1.1740022897720337,0.7885118722915649,0.06216313317418098
Vietnam,5.353499889373779,8.809545516967773,1.2530747652053833,0.819133996963501,0.08984845876693726
Indonesia,5.285600185394287,9.369751930236816,1.1548008918762207,0.6104370355606079,0.03827861323952675
Ivory Coast,5.23330020904541,8.225561141967773,0.7997272610664368,0.15494251251220703,0.09349579364061356
Benin,5.216000080108643,7.674319744110107,0.3524284362792969,0.3280629515647888,0.12593187391757965
Maldives,5.1975998878479,9.518632888793944,1.4022876024246216,0.9144395589828492,0.07190649211406708
Congo (Brazzaville),5.194399833679199,8.5369873046875,0.7576360106468201,0.4581011235713959,0.1186707839369774
Azerbaijan,5.16480016708374,9.687726974487305,1.1806130409240725,0.7311340570449829,0.2473071813583374
Macedonia,5.159800052642822,9.510591506958008,1.1831735372543335,0.8029941320419312,0.02459505945444107
Ghana,5.1479997634887695,8.350645065307617,0.9663679599761964,0.43216225504875183,0.0565703809261322
Nepal,5.137199878692627,7.925357341766357,1.1007893085479736,0.6688793897628784,0.12750296294689178
Turkey,5.131800174713135,10.129419326782228,1.1971591711044312,0.7813352942466736,0.12098324298858644
China,5.123899936676025,9.688568115234377,1.1320806741714478,0.86724853515625,0.1172555536031723
Turkmenistan,5.119100093841553,9.748032569885254,1.5104769468307495,0.6124480366706848,0.03350389003753662
Bulgaria,5.101500034332275,9.869318962097168,1.4605789184570312,0.7777768969535828,0
Morocco,5.094799995422363,8.940313339233398,0.645208477973938,0.7450969219207764,0.07738560438156128
Cameroon,5.08489990234375,8.118647575378418,0.8997264504432678,0.2701895534992218,0.05439342185854912
Venezuela,5.053199768066406,8.97779369354248,1.348546862602234,0.7670255303382874,0.0636247768998146
Algeria,5.005099773406982,9.537964820861816,1.1430035829544067,0.7454185485839844,0.12919065356254578
Senegal,4.980800151824951,8.118982315063477,0.9545934200286864,0.5183919072151184,0.08186593651771545
Guinea,4.9492998123168945,7.750990390777588,0.7513659596443176,0.3336552381515503,0.11220455914735794
Niger,4.909599781036377,6.842166900634766,0.7038001418113708,0.29881635308265686,0.13755476474761963
Laos,4.888599872589111,8.798580169677734,0.9873918890953064,0.4863782823085785,0.1942739635705948
